cellid,enodebid,physcellid,time_timestamp,localcellid,eutrancellid1,eutrancellid2,eutrancellid3,avg_dlrsrp_s,avg_dlrsrq_s,avg_longitude,avg_latitude,avg_dlearfcn,avg_dlrsrp_d1,avg_dlrsrq_d1,avg_dlrsrp_d2,avg_dlrsrq_d2,avg_dlrsrp_d3,avg_dlrsrq_d3,avg_dlcqi,avg_ta
21,21686,349,01:40.0,21,6930689,,,-104.7,-13.2,80.214504,7.424279,1725,-109.4,-17.9,,,,,10,10
20,21460,134,01:10.0,20,6903552,5228290,,-108,-16.5,81.52516,7.90713,1725,-108,-14.5,-114,-20,,,4,12
2,25649,18,01:49.0,2,7109121,5288449,,-108,-14.5,80.015902,7.063034,1725,-114,-19,-116,-19,,,9,14
1,22980,278,01:34.0,1,5312021,5312011,,-103,-13,80.185941,9.812749,1725,-109,-18,-111,-20,,,8,10
0,21443,31,01:21.0,0,5226498,5155586,,-107.8,-14.1,81.682397,7.299903,1725,-109.5,-17.6,-110.8,-17.8,,,8.3,13.7
22,20673,367,01:37.0,22,5292290,5292289,,-93,-14,80.121134,6.977605,1725,-99,-19.5,-101,-20,,,,3
1,24178,374,01:44.0,1,5312512,5154306,,-90,-9.5,80.027441,9.673395,1725,-100,-17.5,-103,-20,,,10,0
1,23893,241,00:08.0,1,6116608,,,-90,-13,79.928325,7.060975,1725,-93.3,-14.2,,,,,9,3.5
0,22612,421,00:27.0,0,5623554,,,-109.1,-13.4,80.553753,7.894886,1725,-114.1,-17.7,,,,,6.1,47.4
3,22962,408,00:16.0,3,5878304,,,-103.9,-11.7,80.105489,8.198292,1725,-106.9,-14.5,,,,,6.8,17.5
82,27379,83,00:15.0,82,5894767,,,-110.6,-13.1,80.272558,7.819638,525,-114.3,-15.9,,,,,5,14
82,27306,308,01:44.0,82,5918544,,,-113,-11.5,81.077505,8.055793,525,-114,-18.5,,,,,10,28
1,26991,286,00:28.0,1,5254933,7127810,5240350,-101,-14,79.900772,6.940359,1725,-102,-15,-103,-16.5,-103,-17,8,2
0,26991,285,00:30.0,0,7127810,,,-85,-11.5,79.898932,6.941275,1725,-93,-17.2,,,,,6,1.3
10,21439,80,00:14.0,10,5488385,,,-96,-13,81.639857,7.363262,1725,-96,-14.5,,,,,,
1,20417,401,01:16.0,1,5226784,5226754,,-97,-13,81.848507,7.229483,1725,-104,-18.5,-105,-20,,,9,3
2,27068,77,00:39.0,2,5326337,6783488,5551361,-109,-12,80.387422,7.472669,1725,-118,-20,-118,-20,-118,-20,8,8
0,24256,102,01:07.0,0,5769729,5294879,6366465,-90,-16.5,80.047763,6.907585,1725,-92,-19,-95,-20,-99,-20,2,22
22,20767,409,01:43.0,22,5154324,,,-105,-12.3,80.038149,9.682121,1725,-111.5,-14.8,,,,,7.5,8
2,20772,230,01:04.0,2,5309953,4294967295,,-106,-16.5,80.023483,9.66457,1725,-106,-14.5,-112,-20,,,6,5
2,25644,321,00:50.0,2,6190593,,,-98.3,-14.7,80.026726,9.658104,1725,-103,-17.5,,,,,9.3,11.3
1,20774,435,00:04.0,1,5318146,,,-98.5,-12.8,80.041607,9.668547,1725,-105.5,-16.5,,,,,8.5,6
83,20774,12,01:14.0,83,5316434,,,-105,-13.5,80.039306,9.678493,525,-111,-19.5,,,,,8.5,10
2,21621,309,01:22.0,2,5408513,5534976,,-102,-14.5,79.975309,6.958609,1725,-109,-20,-112,-20,,,8,13
0,23225,115,00:01.0,0,5820427,5230879,6114817,-115,-20,81.634301,7.723272,1725,-112,-17.5,-113,-19,-113,-18.5,,20
0,20536,60,00:51.0,0,5152256,5143297,,-100,-10.5,79.845072,6.935468,1725,-105,-18.5,-106,-15.5,,,10,0
0,20536,60,00:19.0,0,5134338,5143297,,-101,-11.5,79.845164,6.935537,1725,-106,-20,-106,-17,,,,
2,25358,344,00:52.0,2,6491651,6014978,,-111,-13,80.463635,7.73756,1725,-111,-13.5,-120,-20,,,9,19
11,24235,19,01:33.0,11,5218836,,,-110,-15.1,79.838988,8.02611,1725,-112,-17.5,,,,,6.5,24.8
1,20772,229,00:01.0,1,5312513,5211392,6190592,-106,-15.5,80.022663,9.662875,1725,-109,-15.5,-113,-20,-114,-19.5,7,4
0,21685,372,01:51.0,0,6674178,7138818,5892865,-108,-17,80.377127,7.48069,1725,-108,-16.5,-112,-20,-115,-20,6,3
0,20253,280,01:51.0,0,5205278,5205249,5205258,-102,-13,79.86294,6.869428,1725,-105,-13.5,-105,-14.5,-110,-19,,
20,23879,205,00:02.0,20,6113025,6878465,,-106,-14.5,81.188684,8.504128,1725,-108,-16.5,-110,-18,,,5,8
0,23520,180,00:26.0,0,5779222,,,-114.7,-15.3,79.911813,7.146092,1725,-119,-17.7,,,,,,16
81,27394,229,00:14.0,81,6050158,6025297,6050129,-116,-12.5,79.730267,8.038186,525,-121,-17.5,-121,-17.5,-122,-18.5,7,28
91,27394,230,00:50.0,91,6050138,,,-104.7,-12.6,79.735717,8.043062,525,-111,-17.5,,,,,6.2,17.5
0,23520,180,00:54.0,0,5779222,5894422,,-110,-16,79.915849,7.144365,1725,-110,-16,-113,-18.5,,,,
2,20424,128,00:36.0,2,5228575,,,-100.4,-13.1,81.558495,7.916256,1725,-102.4,-14.6,,,,,8.7,9.6
1,24604,65,01:10.0,1,6298624,,,-110.4,-16.1,80.661159,8.273277,1725,-112.6,-17.9,,,,,6.8,26.3
1,23879,206,00:20.0,1,6113044,5782273,6113024,-88,-17,81.182616,8.503718,1725,-91,-16.5,-91,-18.5,-91,-18,7,0
20,23879,205,00:12.0,20,6113025,6113024,5782273,-104,-14.5,81.188288,8.50403,1725,-106,-17,-107,-17.5,-111,-19,5,9
12,24860,405,01:48.0,12,6364182,6371841,,-88,-16,79.856387,7.242389,1725,-88,-15,-89,-16.5,,,,10
21,21115,400,00:12.0,21,4294967295,5227776,,-96,-14,80.396429,8.335944,1725,-103,-19.5,-104,-18.5,,,11,24
1,24604,65,00:49.0,1,6298624,6170369,,-108,-17,80.66733,8.282886,1725,-109,-18,-109,-17.5,,,,
1,24586,445,01:39.0,1,6294018,6130690,4294967295,-102,-15,81.53571,7.921171,1725,-108,-16.5,-108,-18.5,-109,-20,9,3
11,21115,401,00:47.0,11,5611520,,,-108,-17,80.398924,8.335357,1725,-110,-19.5,,,,,6,19
22,21115,127,01:17.0,22,5405954,5405472,5405441,-81,-11,80.409201,8.335136,1725,-89,-18.5,-91,-19.5,-94,-20,7,3
1,23879,206,00:52.0,1,6113024,5782273,6113044,-88,-16.5,81.182616,8.503719,1725,-90,-17.5,-90,-18,-92,-17,7,0
1,23879,206,01:16.0,1,5782273,5336085,,-112,-16.5,81.186662,8.505108,1725,-116,-17,-119,-17.5,,,4,9
